,Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Treasury Stock,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Employee Benefits,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Liabilities,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Commercial Paper,Pensionand Other Post Retirement Benefit Plans Current,Payables And Accrued Expenses,Current Accrued Expenses,Interest Payable,Payables,Dueto Related Parties Current,Dividends Payable,Total Tax Payable,Income Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Financial Assets,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Leases,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Assets Held For Sale Current,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Raw Materials,Receivables,Other Receivables,Duefrom Related Parties Current,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Cash And Cash Equivalents,Cash Financial,Statement_Name
2023-12-31 00:00:00,3690488.0,9373689.0,12436063.0,,735143000.0,445053000.0,2034757000.0,613794000.0,445053000.0,135984000.0,1435598000.0,2034757000.0,1435598000.0,,1435598000.0,-4276000.0,-4276000.0,61254000.0,1352111000.0,135953000.0,13064000.0,13064000.0,0.0,2853344000.0,1762010000.0,612895000.0,214042000.0,60614000.0,228611000.0,100176000.0,128435000.0,706462000.0,107303000.0,599159000.0,1091334000.0,,,,28681000.0,28681000.0,,,181135000.0,881518000.0,196317000.0,2520000.0,685201000.0,139499000.0,154666000.0,7474000.0,,383562000.0,4288942000.0,2583814000.0,145213000.0,,990545000.0,824642000.0,165903000.0,1448056000.0,-1160845000.0,2608901000.0,183931000.0,95623000.0,572216000.0,1266421000.0,390852000.0,99858000.0,0.0,1705128000.0,61688000.0,3747000.0,,23150000.0,321932000.0,42460000.0,207912000.0,71560000.0,659342000.0,67533000.0,51936000.0,,539873000.0,-16060000.0,555933000.0,635269000.0,635269000.0,,Annual Balance Sheet
2022-12-31 00:00:00,3690488.0,9373689.0,12436063.0,401169000.0,755037000.0,98285000.0,1714205000.0,340645000.0,98285000.0,156220000.0,1115388000.0,1714205000.0,1115388000.0,,1115388000.0,-84837000.0,-84837000.0,61254000.0,1112462000.0,135953000.0,13064000.0,13064000.0,0.0,2594157000.0,1689001000.0,512346000.0,198094000.0,60323000.0,253462000.0,103240000.0,150222000.0,725099000.0,126282000.0,598817000.0,905156000.0,,0.0,0.0,29938000.0,29938000.0,,,158632000.0,716586000.0,162139000.0,2677000.0,554447000.0,162783000.0,32808000.0,7127000.0,,351729000.0,3709545000.0,2463744000.0,115892000.0,,1017103000.0,851200000.0,165903000.0,1330749000.0,-1106263000.0,2437012000.0,184371000.0,103803000.0,579467000.0,1129072000.0,352114000.0,88185000.0,0.0,1245801000.0,69925000.0,4808000.0,0.0,19530000.0,347545000.0,47156000.0,211089000.0,89300000.0,606345000.0,54631000.0,35786000.0,,515928000.0,-16119000.0,532047000.0,197648000.0,197648000.0,,Annual Balance Sheet
2021-12-31 00:00:00,3690488.0,9373689.0,12436063.0,581129000.0,938603000.0,-301860000.0,1435229000.0,241806000.0,-301860000.0,215160000.0,711786000.0,1435229000.0,711786000.0,,711786000.0,-100463000.0,-100463000.0,61254000.0,724486000.0,135953000.0,13064000.0,13064000.0,0.0,2733784000.0,1898928000.0,505171000.0,240526000.0,93391000.0,242736000.0,106304000.0,136432000.0,910495000.0,187052000.0,723443000.0,834856000.0,,18739000.0,18739000.0,28108000.0,28108000.0,,,142901000.0,645108000.0,173481000.0,4096000.0,471627000.0,145671000.0,0.0,6638000.0,,319318000.0,3445570000.0,2368908000.0,120486000.0,7714000.0,1013646000.0,847743000.0,165903000.0,1234776000.0,-1006776000.0,2241552000.0,243020000.0,23496000.0,576831000.0,1052874000.0,265070000.0,80261000.0,0.0,1076662000.0,54857000.0,7714000.0,6880000.0,15497000.0,302851000.0,39917000.0,181751000.0,81183000.0,546549000.0,33878000.0,57737000.0,,454934000.0,-17336000.0,472270000.0,142314000.0,142314000.0,142314000.0,Annual Balance Sheet
2020-12-31 00:00:00,3690488.0,9373689.0,12436063.0,885672000.0,1155998000.0,-519470000.0,1453455000.0,204177000.0,-519470000.0,215533000.0,512990000.0,1453455000.0,512990000.0,0.0,512990000.0,-119053000.0,-119053000.0,61254000.0,544280000.0,135953000.0,13064000.0,13064000.0,,2709460000.0,2062400000.0,407112000.0,257426000.0,113325000.0,267490000.0,109361000.0,158129000.0,1130372000.0,189907000.0,940465000.0,647060000.0,,18706000.0,18706000.0,25626000.0,25626000.0,2793000.0,2793000.0,119261000.0,483467000.0,152548000.0,3944000.0,330919000.0,107181000.0,,6178000.0,0.0,217560000.0,3222450000.0,2371213000.0,111781000.0,2417000.0,1032460000.0,866557000.0,165903000.0,1226972000.0,-956286000.0,2183258000.0,224944000.0,54505000.0,600264000.0,981391000.0,240173000.0,81981000.0,0.0,851237000.0,51878000.0,2417000.0,6429000.0,19851000.0,225757000.0,38596000.0,140080000.0,47081000.0,490112000.0,37084000.0,49203000.0,,403825000.0,-21620000.0,425445000.0,54793000.0,54793000.0,54793000.0,Annual Balance Sheet
2019-12-31 00:00:00,,,,1020306000.0,,,,,,,,,,104164000.0,,,,,,,,,,,,,,,,,,,,,,1174000.0,0.0,0.0,,,20199000.0,20199000.0,,,,,,,,,1651000.0,,,,,1007000.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,4359000.0,,,,,,,Annual Balance Sheet
